Question_ID,Question_Text,Question_Type,Question_Mark,Exam_ID
500,Model binding in .NET Core maps incoming data to C# objects.,TF,3,25
501,What does MEAN stand for in MEAN Stack development?,MCQ,4,26
502,MEAN Stack uses JavaScript for both client and server-side development.,TF,4,26
503,Which database is used in the MEAN stack?,MCQ,4,26
504,MongoDB stores data in JSON-like documents.,TF,4,26
505,What does Angular provide in the MEAN stack?,MCQ,4,26
506,Angular is a front-end framework maintained by Google.,TF,4,26
507,Which Node.js framework is commonly used to build APIs in the MEAN stack?,MCQ,4,26
508,Express.js is used to handle HTTP requests in a Node.js application.,TF,4,26
509,What command is used to start a new Angular project?,MCQ,4,26
510,Angular uses components and services for modular development.,TF,4,26
511,Which command is used to install packages in Node.js?,MCQ,4,26
512,npm is the Node Package Manager used in MEAN projects.,TF,4,26
513,Which method is used to fetch documents in MongoDB using Mongoose?,MCQ,4,26
514,Mongoose is an ODM (Object Data Modeling) library for MongoDB.,TF,4,26
515,What is the default port for a Node.js server using Express?,MCQ,4,26
516,Express routes can be defined using app.get() and app.post().,TF,3,26
517,How is Angular connected to the backend in a MEAN stack app?,MCQ,3,26
518,Angular uses HTTPClient module to make API calls to the backend.,TF,3,26
519,What data format is used in REST APIs built with MEAN stack?,MCQ,3,26
520,JSON is commonly used to transfer data between frontend and backend.,TF,3,26
521,What does ASP.NET stand for?,MCQ,5,27
522,ASP.NET allows server-side code execution for dynamic web pages.,TF,5,27
523,Which programming language is commonly used in ASP.NET development?,MCQ,5,27
524,ASP.NET applications can be developed using C#.,TF,5,27
525,What is the role of the Global.asax file in an ASP.NET project?,MCQ,5,27
526,The Global.asax file is used to handle application-level events.,TF,5,27
527,What component is responsible for routing in ASP.NET MVC?,MCQ,5,27
528,"ASP.NET MVC separates an application into Model, View, and Controller.",TF,5,27
529,What directive is used to include server-side code in .aspx pages?,MCQ,5,27
530,ASP.NET supports both Web Forms and MVC frameworks.,TF,5,27
531,What is the file extension for an ASP.NET Razor View file?,MCQ,5,27
532,Razor syntax is used in ASP.NET for embedding C# into HTML.,TF,5,27
533,Which class is used to access session data in ASP.NET?,MCQ,5,27
534,ASP.NET provides built-in support for session and application state.,TF,5,27
535,What tool is used to manage ASP.NET project dependencies?,MCQ,5,27
536,NuGet is the package manager used in ASP.NET projects.,TF,5,27
537,What HTTP method is typically used to submit a form in ASP.NET?,MCQ,5,27
538,ASP.NET supports GET and POST methods in form handling.,TF,5,27
539,What ASP.NET component handles user authentication and authorization?,MCQ,5,27
540,ASP.NET Identity is used to manage users and roles in a web application.,TF,5,27
